Time,lowAlpha,highAlpha,lowBeta,highBeta
22.7439780235,455,321,333,368
23.7266130447,4781,1389,1139,572
24.7418210506,4386,1486,8982,17407
25.7385139465,5921,1021,1960,3462
26.7212469578,4378,12763,5602,5769
27.7174749374,2557,3972,2765,517
28.7240788937,6512,4505,3898,3604
29.7061040401,2646,1673,2827,4130
30.7064409256,85745,20697,28289,33858
31.7174370289,61762,55843,5127,14279
32.6952319145,25525,15523,11977,7484
33.7013309002,1088,3756,3956,3388
34.7075059414,4800,12196,9201,13109
35.6904139519,8357,759,3788,3189
36.6917510033,6612,2892,3807,1872
37.6952149868,50792,5006,11757,10274
38.6741600037,7013,7768,13665,12432
39.6843218803,6927,3279,3660,5141
40.686565876,14334,24206,9931,11085
41.6690189838,3217,3545,3359,3711
42.6692299843,44594,3805,22167,12970
43.6738510132,19846,46526,12831,18073
44.6588609219,3944,1416,5914,6900
45.6601610184,8120,10907,9464,19675
46.6451931,3783,10824,6336,7193
47.6490459442,3775,1684,3425,1995
48.6441318989,8661,2978,3532,12750
49.6302371025,6626,2771,1301,6615
50.6378190517,5930,951,55172,31567
51.6351130009,803,4344,1447,2562
52.6264998913,506,2041,952,1944
53.624119997,1705,3159,709,3410
54.631788969,14776,969,4545,7597
55.6154949665,1921,2966,4785,5227
56.614109993,8132,19509,6571,24734
57.6176469326,111189,59389,32584,13888
58.6039340496,11125,13732,5081,7943
59.6066250801,21796,26352,19942,26652
60.6064929962,59400,7785,13561,32544
61.5939540863,23778,9346,6874,14424
62.588944912,46213,10642,15194,11449
63.5964260101,2574,3693,7380,3931
64.5765058994,14961,39308,51400,16355
65.5841290951,14364,1950,8623,5233
66.5849208832,4985,2614,1909,2384
67.573884964,13931,18678,33220,4431
68.5737490654,3386,2765,780,2223
69.5788090229,1804,1741,1250,715
70.5642249584,6165,7756,4301,3570
71.539041996,19445,14713,7401,5311
72.5665690899,30435,30448,22066,22706
73.551484108,1917,12227,3905,3198
74.5357050896,4235,3466,5003,3845
75.5543971062,29062,21423,10639,11756
76.5402870178,27990,14251,15258,4610
77.5214838982,7055,8667,3249,3482
78.5440089703,1902,4653,1402,3330
79.5317730904,5740,398,2586,1687
80.5077719688,3260,5669,10204,18376
81.5336821079,9714,1723,2997,6237
82.5202798843,5400,25655,8187,10207
83.4967079163,63508,15408,31712,18663
84.5289850235,18613,19576,10311,4586
85.5092411041,7660,1888,3955,10329
86.4939749241,9031,20040,2592,6172
87.5138919353,63981,47958,19888,28974
88.4927539825,824,3032,4199,11352
89.4840669632,16466,10484,26819,23712
90.5014829636,9977,1963,3694,3375
91.4815340042,9178,4673,6504,3747
92.468159914,2661,10313,3194,4420
93.4877109528,2208,2467,2753,3706
94.4793798923,6185,13688,14625,8255
95.4603569508,4307,7779,13817,10205
96.4431650639,92357,39654,22016,19899
97.4664509296,12460,16206,4376,15929
98.4458370209,25843,14254,11907,8647
99.431853056,335,823,3209,8020
100.458776951,331,3150,2233,2879
101.442805052,6744,3270,5875,14236
102.426665068,664,1843,1896,3259
103.441406965,5194,5408,7255,3831
104.42789793,9722,4618,1647,3301
105.406738043,17680,6058,6430,9925
106.433873892,5059,10084,4669,5590
107.421448946,10540,40729,29403,60049
108.398005962,2824,3723,1549,2575
109.422911882,6466,7412,8505,8961
110.411686897,2531,1671,2795,2142
111.386732101,13081,10841,6366,5176
112.411948919,48784,10078,27797,41017
113.402024984,13776,6914,1765,5331
114.378247023,26067,39692,38693,14190
115.401900053,1605,1063,3875,2407
116.38531208,4101,4412,5982,4629
117.374680996,23155,26542,5346,5297
118.395591021,3549,2225,3810,7332
119.373374939,26816,66112,18041,41321
120.364530087,7799,21509,28980,22107
121.359582901,35364,50324,23990,26227
122.36153698,1575,2432,4911,4179
123.353358984,474,4697,7416,4192
124.352847099,10483,4626,10824,7109
125.359461069,19175,48473,66357,24011
126.340913057,560,3380,4449,5020
127.345509052,196830,17991,21816,58125
128.348346949,18899,8432,22718,15805
129.324673891,7126,14182,7760,6003
